text,label
"Scientists at a major university confirm that regular exercise improves cardiovascular health according to a peer-reviewed study published this week.",REAL
"Local government announces new infrastructure budget after months of public consultation and council review.",REAL
"Central bank raises interest rates by a quarter point citing persistent inflation pressures in the latest policy meeting.",REAL
"The health ministry released updated vaccination guidelines after consulting with medical experts and reviewing clinical trial data.",REAL
"Company reports quarterly earnings in line with analyst expectations, with revenue growth driven by international sales.",REAL
"Election officials confirm final vote count after a standard audit process completed without irregularities.",REAL
"Researchers publish findings in a peer-reviewed journal showing a modest reduction in emissions from new engine technology.",REAL
"City council approves new public transit routes after a year-long feasibility study.",REAL
"National weather service issues a storm advisory based on satellite tracking data for the coming weekend.",REAL
"University researchers develop a new water filtration method, published after peer review in an engineering journal.",REAL
"The finance ministry released its annual budget report with detailed line-item spending breakdowns.",REAL
"A new study tracked five thousand participants over ten years to assess the link between diet and heart disease.",REAL
"Hospital administrators confirm updated visiting hours effective next month, based on staffing reviews.",REAL
"Space agency confirms successful satellite launch after a two-day weather delay.",REAL
"Local school district approves updated curriculum following review by an independent education panel.",REAL
"Drinking this one common household liquid cures cancer overnight, doctors are furious and don't want you to know.",FAKE
"BREAKING: Secret government document leaked proves the moon landing was staged in a Hollywood basement.",FAKE
"Celebrity secretly replaced by a clone years ago, insider reveals shocking evidence nobody can explain.",FAKE
"Aliens have been living among us for decades and the government pays actors to deny it, whistleblower claims.",FAKE
"This miracle fruit melts belly fat in three days, pharmaceutical companies are trying to ban it.",FAKE
"Shocking! Vaccines contain microchips that let the government track your every move, leaked memo shows.",FAKE
"Scientists silenced after discovering the earth is actually flat, mainstream media refuses to report it.",FAKE
"You won't believe what this politician was caught doing on camera, sources say it will end their career instantly.",FAKE
"Secret cure for baldness banned by big pharma because it costs too little to manufacture, insider claims.",FAKE
"Local man discovers ancient prophecy predicting the end of the world next month, experts baffled and afraid to comment.",FAKE
"New study 'proves' the 5G towers are secretly controlling your thoughts, viral post claims without any source.",FAKE
"Billionaire secretly funds mind control experiment on entire city, anonymous tipster alleges with no evidence.",FAKE
"This one weird trick doctors hate lets you lose ten pounds overnight with zero effort, click to find out.",FAKE
"Government insider leaks proof that historical events never actually happened and were all staged for television.",FAKE
"Miracle supplement reverses aging completely in one week, testimonials flood social media with no clinical backing.",FAKE
